zipcode,mean_income
98001,174795.33333333334
98002,116376.33333333333
98003,187577.16666666666
98004,744926.1666666666
98005,226854.66666666666
98006,498776.5
98007,196337.5
98008,253131.33333333334
98010,42161.666666666664
98011,184975.33333333334
98014,60286
98019,95194.5
98022,128002.5
98023,252559.33333333334
98024,46046.166666666664
98027,301425.5
98028,182434.5
98029,279240.1666666667
98030,142944.33333333334
98031,192407.16666666666
98032,157967
98033,594629.6666666666
98034,400653.3333333333
98038,252405.5
98039,176420.16666666666
98040,622019
98042,287312.1666666667
98045,127394
98052,724662.5
98053,270856.3333333333
98055,119143.5
98056,235237.33333333334
98058,254443
98059,292038.3333333333
98065,156428.66666666666
98070,83651.5
98072,257721.5
98074,360891.6666666667
98075,347268.1666666667
98077,181469.16666666666
98092,293828
98102,324825
98103,480444.8333333333
98105,427418.8333333333
98106,121418.16666666667
98107,241916.16666666666
98108,109694.83333333333
98109,351616.1666666667
98112,506844.8333333333
98115,522177.8333333333
98116,271204.3333333333
98117,329058.6666666667
98118,248921.66666666666
98119,284532
98122,319144.5
98125,250714.5
98126,153088.83333333334
98133,258080.16666666666
98136,171980.16666666666
98144,233219
98146,143447.33333333334
98148,46040
98155,235453
98166,167565.16666666666
98168,136339.66666666666
98177,250578.66666666666
98178,117337.5
98188,103554.5
98198,178729.5
98199,295854.6666666667
